코드 번호,회사명,업종 (대),업종 (소),종합점수,종합랭킹,과거 PCR,낮은순서(값>0)  (비중 5),발표 PSR,낮은순서(값>0)  (비중 5),발표 PBR,낮은순서(값>0)  (비중 5),발표 분기 PER,낮은순서(값>0)  (비중 5),발표 POR,낮은순서(값>0)  (비중 5),거래대금 증가율(20일대비),높은순서  (비중 30)
A000950,전방,섬유 및 의류,섬유,73.98,153,-8.6,707,0.64,185,0.49,46,23.63,471,-5.23,722,23.99,141
A215360,우리산업,자동차 및 관련부품,공조부품,73.73,154,10.07,292,0.8,231,1.93,404,17.91,390,21.79,453,2.72,205
A034220,LG디스플레이,디스플레이 장비 및 부품,디스플레이 부품,73.69,155,2.7,46,0.31,69,0.7,116,9.08,185,9.68,194,-29.58,399
A007690,국도화학,화학,합성수지,73.61,156,5.48,148,0.35,81,0.72,121,5.07,70,6.45,101,-32.13,415
A002380,KCC,건설 및 건축자재,페인트,73.58,157,4.83,114,0.54,152,0.57,74,40.32,566,14.8,344,-15.48,294
A009900,명신산업,자동차 및 관련부품,기타 자동차부품,73.45,158,-68.26,707,2.6,536,5.17,729,13.04,303,32.77,529,132.81,37
A036810,에프에스티,반도체 관련장비 및 부품,반도체 부품,73.07,159,30.94,544,3.39,585,3.11,571,8.17,159,22.63,463,32.1,123
A036480,대성미생물,제약 및 바이오,동물용의약품,73.03,160,22.07,489,3.35,582,2.19,437,759.62,704,87.78,648,137.29,34
A271560,오리온,식음료,식료품,73.01,161,11.95,335,2.09,476,2.49,487,16.71,369,12.56,283,10,186
A009450,경동나비엔,기계,보일러,72.98,162,9.83,286,0.97,273,2.42,473,9.18,187,11.36,247,-11.24,267
A228850,레이언스,의료기기 및 용품,의료기기,72.91,163,14.91,396,2.33,512,1.28,275,9.5,193,23.92,475,2.83,204
A048910,대원미디어,유아동산업,유아동산업,72.74,164,32.2,548,1.57,411,5.23,736,53.08,604,44.22,563,130.18,38
A000120,CJ대한통운,운송 및 물류,육상운송,72.74,164,5.18,128,0.35,81,1.1,231,74.4,637,12.08,267,-15.23,291
A023900,풍국주정,식음료,음료,72.72,166,11.48,323,2.2,495,1.83,381,24.57,479,21.17,442,15.59,162
A018880,한온시스템,자동차 및 관련부품,공조부품,72.59,167,10.45,300,1.37,370,4.48,687,41.04,569,27.6,494,36.21,114
A120110,코오롱인더,화학,종합 화학,72.56,168,3.34,68,0.41,109,0.76,131,8.46,168,8.74,171,-30.92,410
