코드 번호,회사명,업종 (대),업종 (소),종합점수,종합랭킹,시가총액 (억),높은순서  (비중 5),과거 PCR,낮은순서(값>0)  (비중 5),발표 분기 PSR,낮은순서(값>0)  (비중 5),발표 분기 PEG,낮은순서(값>0)  (비중 5),발표 PBR,낮은순서(값>0)  (비중 5),발표 분기 PER,낮은순서(값>0)  (비중 5),발표 분기 POR,낮은순서(값>0)  (비중 5),거래대금 증가율(5일대비),높은순서  (비중 15),거래대금 증가율(20일대비),높은순서  (비중 15),
A317400,자이에스앤디,건설 및 건축자재,대형건설사,81.46,86,4247,481,10.15,544,0.98,628,0.08,452,2.57,1266,15.23,628,10.42,416,54.43,295,55.14,270,
A007210,벽산,건설 및 건축자재,건축자재,81.26,87,3161,635,15.48,776,0.75,493,3.52,1254,1.37,674,439.03,1391,24.35,837,256.35,23,1089.58,10,
A076080,웰크론한텍,기계,플랜트설비,81.08,88,927,1601,9.72,527,0.4,205,0.17,698,1.42,712,27.17,943,38.5,1009,168.9,69,194.76,101,
A244920,에이플러스에셋,금융,손해보험,81.06,89,2702,737,9.43,505,1.17,739,-0.36,1328,2.95,1372,20.27,788,15.93,626,245.99,26,1053.04,12,
A228340,동양파일,건설 및 건축자재,건축자재,81.04,90,1310,1311,58.85,1282,1.61,954,0.04,265,1.11,503,14.27,592,11.21,451,160.33,74,81.48,211,
A002710,TCC스틸,종이 및 용기,용기 및 포장재,80.97,91,1206,1372,9.12,489,0.26,87,0.18,711,0.99,410,25.04,908,20.06,751,73.84,217,49.82,284,
A000240,한국앤컴퍼니,자동차 및 관련부품,타이어,80.76,92,18987,142,20.14,916,2,1103,0.07,416,0.55,92,7.79,257,7.04,225,46.61,332,-7.95,712,
A046110,한일네트웍스,IT서비스,시스템서비스,80.73,93,886,1644,2.18,47,0.76,496,0.4,934,1.13,516,9.36,331,7.12,229,55.09,290,21.18,408,
A024830,세원물산,자동차 및 관련부품,차체부품,80.71,94,524,1917,0.52,5,0.29,116,0.03,190,0.25,4,2.86,26,5.39,135,0,740,0,561,
A214330,금호에이치티,자동차 및 관련부품,기타 자동차부품,80.68,95,2937,671,28.78,1075,1.21,772,0.18,711,1.25,598,30.53,1001,35.49,985,195.38,54,172.2,109,
A004910,조광페인트,건설 및 건축자재,페인트,80.45,96,1146,1418,12.16,650,0.55,328,0.21,763,0.57,104,-36.68,1418,-12.56,1369,252.71,24,240.63,79,
A066900,디에이피,IT 장비 및 소재,PCB,80.4,97,1017,1537,6.76,339,0.38,184,0.86,1104,0.97,391,-95.58,1418,-22.05,1369,353.17,7,1449.91,3,
A048830,엔피케이,화학,합성수지,80.37,99,483,1935,12.05,648,0.71,460,0.17,698,1.23,583,24.3,897,18.52,712,182.21,62,228.12,87,
A024800,유성티엔에스,철강 및 비철강,강판,80.37,98,1275,1333,-7.83,1482,0.5,287,0.05,317,0.5,69,3.3,41,47.65,1062,119.9,119,10.3,477,
A210980,SK디앤디,일반서비스,부동산,80.2,100,7074,305,2.72,74,0.61,380,-1.15,1328,1.36,668,14.03,575,6.52,201,6,651,40.84,312,
A009290,광동제약,제약 및 바이오,제약,80.13,101,4828,434,28.14,1066,0.41,218,-0.46,1328,1,418,19.62,772,14.18,567,49.99,311,67.94,234,
A023160,태광,기계,피팅 및 밸브,80.06,102,3074,652,6.94,353,1.8,1026,0.39,928,0.73,213,22.94,869,43.13,1036,81.69,193,56.86,266,
A096240,청담러닝,일반서비스,교육,80.03,103,2504,795,5.47,241,1.19,755,0.04,265,3.03,1398,11.53,460,7.23,236,44.19,344,17.11,427,
A053280,예스24,유통,전자상거래,79.96,104,3363,598,11.66,630,0.45,247,0.02,109,2,1023,13.31,549,14.38,575,28.28,431,9.45,485,
A319660,피에스케이,반도체 관련장비 및 부품,반도체장비,79.93,105,6334,337,20.06,913,1.66,977,0.2,750,2.69,1294,7.37,241,6.37,190,42.32,353,66.12,242,
A053450,세코닉스,IT 장비 및 소재,카메라모듈,79.91,106,931,1596,4.8,188,0.21,57,0.03,190,0.92,358,4.23,75,5.18,124,0,740,0,561,
A013360,일성건설,건설 및 건축자재,중견건설사,79.84,107,2269,864,6.32,311,0.65,407,-2.08,1328,2.45,1223,69.26,1230,40.96,1026,245.56,27,1037.14,13,
A018310,삼목에스폼,건설 및 건축자재,거푸집,79.81,108,2506,793,14.23,724,2.14,1136,0.51,995,0.74,221,73.45,1239,-124.55,1369,358.24,5,1143.65,8,
A019770,서연탑메탈,자동차 및 관련부품,기타 자동차부품,79.8,109,1106,1457,30.02,1091,0.72,471,0.03,190,1.56,798,10.88,419,9.38,355,46.7,331,62.58,248,
A090850,현대이지웰,IT서비스,인터넷서비스,79.76,110,2980,666,-121.18,1482,2.75,1275,0.05,317,4.31,1651,7.22,234,10.53,423,182.25,61,196.53,99,
A171120,라이온켐텍,건설 및 건축자재,건축자재,79.65,111,2107,901,13.94,713,1.53,926,-1,1328,1.9,974,16.86,689,20.83,766,217.31,37,414.94,49,
A027710,팜스토리,식음료,사료,79.6,112,2468,808,6.12,293,0.27,98,0.42,947,1.21,570,13.67,561,8.04,272,143.5,89,-22.78,917,
A006260,LS,전기 및 전자기기,케이블,79.58,113,23184,121,3.58,116,0.2,54,0.02,109,0.71,201,11.87,477,4.38,86,-3.18,872,-23.5,931,
A012610,경인양행,섬유 및 의류,염료,79.4,114,2942,669,4.91,199,0.78,509,0.05,317,1.39,693,13.11,535,25.73,857,51.69,305,-1.59,641,
