코드 번호,회사명,업종 (대),업종 (소),종합점수,종합랭킹,1개월 등락률 (%),높은순서  (비중 5),3개월 등락률 (%),높은순서  (비중 5),6개월 등락률 (%),높은순서  (비중 5),9개월 등락률 (%),높은순서  (비중 5),1년 등락률 (%),높은순서  (비중 5),과거 PCR,낮은순서(값>0)  (비중 5),과거 PFCR,낮은순서(값>0)  (비중 5),발표 PSR,낮은순서(값>0)  (비중 5),발표 PBR,낮은순서(값>0)  (비중 5),발표 분기 PER,낮은순서(값>0)  (비중 5),과거 EV/EBITDA (%),낮은순서(값>0)  (비중 5),발표 POR,낮은순서(값>0)  (비중 5),
A037330,인지디스플레,디스플레이 장비 및 부품,디스플레이 부품,81.57,102,-8.6,2173,22.8,410,80.7,176,72.1,381,53.7,467,3.83,291,-177.5,1319,0.19,136,0.78,589,5.92,248,4.82,256,4.36,139,
A005490,POSCO,철강 및 비철강,제철,81.44,103,12.5,752,24.5,380,16.7,837,22.2,1017,0.9,1290,2.85,192,5.09,263,0.35,369,0.46,222,10.96,572,4.65,240,9.73,484,
A002990,금호산업,건설 및 건축자재,중견건설사,81.43,104,46.4,87,41.6,191,27.5,602,30.2,841,-7.2,1636,6.7,552,6.72,367,0.22,192,0.96,760,21.58,906,5.35,307,4.94,179,
A042670,두산인프라코어,기계,중장비 및 관련품,81.4,105,-1.8,2055,3,1145,24.9,645,94.5,254,53,473,3.14,225,5.3,279,0.22,192,0.72,533,10.17,529,4.72,246,2.71,52,
A023800,인지컨트롤스,자동차 및 관련부품,엔진부품,81.38,106,18.1,452,52,147,192.5,35,183.2,85,163.1,111,6.52,537,-6.24,1319,0.41,443,1.01,806,13.06,662,12.34,870,40.6,1166,
A014130,한익스프레스,운송 및 물류,육상운송,81.32,107,55.3,69,19.3,509,56,305,36.6,741,78.7,328,4.87,403,-4.85,1319,0.15,93,1.21,970,23.96,943,7.75,557,8.57,411,
A042600,새로닉스,디스플레이 장비 및 부품,디스플레이 부품,81.31,108,43.1,94,68.5,88,151.3,59,139,132,107.7,213,10.98,812,58.56,1109,0.57,614,1.12,908,5.74,235,22.87,1203,42.59,1182,
A001790,대한제당,식음료,식료품,81.24,110,14.8,615,14.8,643,16.7,837,8.7,1360,16.1,933,6.69,551,6.97,381,0.16,108,0.4,151,5.07,180,9.84,718,5.18,191,
A033160,엠케이전자,반도체 관련장비 및 부품,반도체 부품,81.24,109,7.2,1204,-5.6,1732,17.5,814,27.9,884,28.6,730,1.65,72,1.66,43,0.26,253,0.64,431,5.82,243,4.42,224,2.35,36,
A002290,삼일기업공사,건설 및 건축자재,중견건설사,81.19,111,27.2,229,49.4,157,40.9,427,46.4,604,20.1,859,6.56,539,6.62,362,0.7,751,0.86,667,43.97,1163,1.26,37,19.62,885,
A086790,하나금융지주,지주사,지주사,81.07,112,11.3,837,18.8,522,8.3,1082,10.1,1321,-6,1596,2.72,179,2.85,101,0.7,751,0.34,95,3.35,85,2.48,86,2.8,54,
A004000,롯데정밀화학,화학,합성수지,81,113,13.4,703,21.8,436,43.8,397,62.7,452,22.2,824,4.66,388,8.32,446,1.1,1064,0.9,704,14.7,723,3.47,157,8.92,433,
A075180,새론오토모티브,자동차 및 관련부품,제동장치,80.96,114,34.5,143,33.3,267,54.5,313,32.7,801,20.5,849,6.91,566,18.64,800,0.77,816,0.48,244,7.12,332,3.31,147,-23.73,1458,
A017650,대림제지,종이 및 용기,종이,80.92,115,33.1,159,32.1,278,22.6,693,21.1,1051,68.9,374,4.76,399,4.87,248,1.08,1056,0.58,369,9.26,479,12.61,881,15.08,759,
A065350,신성델타테크,IT 장비 및 소재,IT 소재 및 부품,80.88,116,22,328,100.6,41,116.6,98,122.7,171,106.4,217,10.97,810,42.3,1041,0.4,430,1.39,1072,15.47,752,14.06,939,18.43,857,
A001270,부국증권,금융,증권,80.87,117,8.6,1071,14,672,15.2,884,21.3,1043,4.1,1192,1.08,36,1.08,20,1.39,1214,0.45,213,3.13,78,4.59,235,3.66,102,
